[2024-01-05T12:00:24.889+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: load_data_parquet.load_data_order_products__prior manual__2024-01-05T12:00:08.484737+00:00 [queued]>
[2024-01-05T12:00:24.906+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: load_data_parquet.load_data_order_products__prior manual__2024-01-05T12:00:08.484737+00:00 [queued]>
[2024-01-05T12:00:24.907+0000] {taskinstance.py:2171} INFO - Starting attempt 1 of 1
[2024-01-05T12:00:24.937+0000] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): load_data_order_products__prior> on 2024-01-05 12:00:08.484737+00:00
[2024-01-05T12:00:24.945+0000] {standard_task_runner.py:60} INFO - Started process 66 to run task
[2024-01-05T12:00:24.951+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'load_data_parquet', 'load_data_order_products__prior', 'manual__2024-01-05T12:00:08.484737+00:00', '--job-id', '3', '--raw', '--subdir', 'DAGS_FOLDER/load_data_parquet.py', '--cfg-path', '/tmp/tmp690sevui']
[2024-01-05T12:00:24.955+0000] {standard_task_runner.py:88} INFO - Job 3: Subtask load_data_order_products__prior
[2024-01-05T12:00:25.054+0000] {task_command.py:423} INFO - Running <TaskInstance: load_data_parquet.load_data_order_products__prior manual__2024-01-05T12:00:08.484737+00:00 [running]> on host e80d60e00ebe
[2024-01-05T12:00:25.192+0000] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='load_data_parquet' AIRFLOW_CTX_TASK_ID='load_data_order_products__prior' AIRFLOW_CTX_EXECUTION_DATE='2024-01-05T12:00:08.484737+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-01-05T12:00:08.484737+00:00'
[2024-01-05T12:00:25.217+0000] {logging_mixin.py:188} INFO - starting:order_products__prior
[2024-01-05T12:01:38.949+0000] {logging_mixin.py:188} INFO - loading chunk:23
[2024-01-05T12:01:42.326+0000] {logging_mixin.py:188} INFO - loading chunk:24
[2024-01-05T12:01:45.872+0000] {logging_mixin.py:188} INFO - loading chunk:25
[2024-01-05T12:01:49.290+0000] {logging_mixin.py:188} INFO - loading chunk:26
[2024-01-05T12:01:52.745+0000] {logging_mixin.py:188} INFO - loading chunk:27
[2024-01-05T12:01:56.021+0000] {logging_mixin.py:188} INFO - loading chunk:28
[2024-01-05T12:01:59.371+0000] {logging_mixin.py:188} INFO - loading chunk:29
[2024-01-05T12:02:02.873+0000] {logging_mixin.py:188} INFO - loading chunk:30
[2024-01-05T12:02:06.033+0000] {logging_mixin.py:188} INFO - loading chunk:31
[2024-01-05T12:02:09.259+0000] {logging_mixin.py:188} INFO - loading chunk:32
[2024-01-05T12:02:12.547+0000] {logging_mixin.py:188} INFO - loading chunk:33
[2024-01-05T12:02:15.932+0000] {logging_mixin.py:188} INFO - loading chunk:34
[2024-01-05T12:02:19.496+0000] {logging_mixin.py:188} INFO - loading chunk:35
[2024-01-05T12:02:22.937+0000] {logging_mixin.py:188} INFO - loading chunk:36
[2024-01-05T12:02:26.059+0000] {logging_mixin.py:188} INFO - loading chunk:37
[2024-01-05T12:02:29.207+0000] {logging_mixin.py:188} INFO - loading chunk:38
[2024-01-05T12:02:32.307+0000] {logging_mixin.py:188} INFO - loading chunk:39
[2024-01-05T12:02:35.568+0000] {logging_mixin.py:188} INFO - loading chunk:40
[2024-01-05T12:02:39.154+0000] {logging_mixin.py:188} INFO - loading chunk:41
[2024-01-05T12:02:42.440+0000] {logging_mixin.py:188} INFO - loading chunk:42
[2024-01-05T12:02:45.615+0000] {logging_mixin.py:188} INFO - loading chunk:43
[2024-01-05T12:02:49.348+0000] {logging_mixin.py:188} INFO - loading chunk:44
[2024-01-05T12:02:52.706+0000] {logging_mixin.py:188} INFO - loading chunk:45
[2024-01-05T12:02:56.259+0000] {logging_mixin.py:188} INFO - loading chunk:46
[2024-01-05T12:03:00.921+0000] {logging_mixin.py:188} INFO - loading chunk:47
[2024-01-05T12:03:05.124+0000] {logging_mixin.py:188} INFO - loading chunk:48
[2024-01-05T12:03:08.905+0000] {logging_mixin.py:188} INFO - loading chunk:49
[2024-01-05T12:03:14.640+0000] {logging_mixin.py:188} INFO - loading chunk:50
[2024-01-05T12:03:20.396+0000] {logging_mixin.py:188} INFO - loading chunk:51
[2024-01-05T12:03:24.171+0000] {logging_mixin.py:188} INFO - loading chunk:52
[2024-01-05T12:03:27.727+0000] {logging_mixin.py:188} INFO - loading chunk:53
[2024-01-05T12:03:31.763+0000] {logging_mixin.py:188} INFO - loading chunk:54
[2024-01-05T12:03:36.414+0000] {logging_mixin.py:188} INFO - loading chunk:55
[2024-01-05T12:03:40.444+0000] {logging_mixin.py:188} INFO - loading chunk:56
[2024-01-05T12:03:44.713+0000] {logging_mixin.py:188} INFO - loading chunk:57
[2024-01-05T12:03:48.740+0000] {logging_mixin.py:188} INFO - loading chunk:58
[2024-01-05T12:03:53.281+0000] {logging_mixin.py:188} INFO - loading chunk:59
[2024-01-05T12:03:57.645+0000] {logging_mixin.py:188} INFO - loading chunk:60
[2024-01-05T12:04:02.909+0000] {logging_mixin.py:188} INFO - loading chunk:61
[2024-01-05T12:04:10.917+0000] {logging_mixin.py:188} INFO - loading chunk:62
[2024-01-05T12:04:18.289+0000] {logging_mixin.py:188} INFO - loading chunk:63
[2024-01-05T12:04:25.722+0000] {logging_mixin.py:188} INFO - loading chunk:64
[2024-01-05T12:04:32.216+0000] {logging_mixin.py:188} INFO - loading chunk:65
[2024-01-05T12:04:37.037+0000] {logging_mixin.py:188} INFO - loading chunk:66
[2024-01-05T12:04:42.295+0000] {logging_mixin.py:188} INFO - loading chunk:67
[2024-01-05T12:04:47.441+0000] {logging_mixin.py:188} INFO - loading chunk:68
[2024-01-05T12:04:54.432+0000] {logging_mixin.py:188} INFO - loading chunk:69
[2024-01-05T12:05:01.807+0000] {logging_mixin.py:188} INFO - loading chunk:70
[2024-01-05T12:05:07.604+0000] {logging_mixin.py:188} INFO - loading chunk:71
[2024-01-05T12:05:13.311+0000] {logging_mixin.py:188} INFO - loading chunk:72
[2024-01-05T12:05:19.593+0000] {logging_mixin.py:188} INFO - loading chunk:73
[2024-01-05T12:05:24.831+0000] {logging_mixin.py:188} INFO - loading chunk:74
[2024-01-05T12:05:29.108+0000] {logging_mixin.py:188} INFO - loading chunk:75
[2024-01-05T12:05:33.408+0000] {logging_mixin.py:188} INFO - loading chunk:76
[2024-01-05T12:05:36.917+0000] {logging_mixin.py:188} INFO - loading chunk:77
[2024-01-05T12:05:40.165+0000] {logging_mixin.py:188} INFO - loading chunk:78
[2024-01-05T12:05:43.546+0000] {logging_mixin.py:188} INFO - loading chunk:79
[2024-01-05T12:05:46.814+0000] {logging_mixin.py:188} INFO - loading chunk:80
[2024-01-05T12:05:51.435+0000] {logging_mixin.py:188} INFO - loading chunk:81
[2024-01-05T12:05:54.933+0000] {logging_mixin.py:188} INFO - loading chunk:82
[2024-01-05T12:05:58.446+0000] {logging_mixin.py:188} INFO - loading chunk:83
[2024-01-05T12:06:01.778+0000] {logging_mixin.py:188} INFO - loading chunk:84
[2024-01-05T12:06:05.293+0000] {logging_mixin.py:188} INFO - loading chunk:85
[2024-01-05T12:06:08.944+0000] {logging_mixin.py:188} INFO - loading chunk:86
[2024-01-05T12:06:12.617+0000] {logging_mixin.py:188} INFO - loading chunk:87
[2024-01-05T12:06:15.750+0000] {logging_mixin.py:188} INFO - loading chunk:88
[2024-01-05T12:06:18.553+0000] {logging_mixin.py:188} INFO - loading chunk:89
[2024-01-05T12:06:21.256+0000] {logging_mixin.py:188} INFO - loading chunk:90
[2024-01-05T12:06:24.647+0000] {logging_mixin.py:188} INFO - loading chunk:91
[2024-01-05T12:06:27.519+0000] {logging_mixin.py:188} INFO - loading chunk:92
[2024-01-05T12:06:30.642+0000] {logging_mixin.py:188} INFO - loading chunk:93
[2024-01-05T12:06:33.908+0000] {logging_mixin.py:188} INFO - loading chunk:94
[2024-01-05T12:06:37.090+0000] {logging_mixin.py:188} INFO - loading chunk:95
[2024-01-05T12:06:40.903+0000] {logging_mixin.py:188} INFO - loading chunk:96
[2024-01-05T12:06:47.004+0000] {logging_mixin.py:188} INFO - loading chunk:97
[2024-01-05T12:06:51.218+0000] {logging_mixin.py:188} INFO - loading chunk:98
[2024-01-05T12:06:54.917+0000] {logging_mixin.py:188} INFO - loading chunk:99
[2024-01-05T12:06:58.225+0000] {logging_mixin.py:188} INFO - loading chunk:100
[2024-01-05T12:07:01.500+0000] {logging_mixin.py:188} INFO - loading chunk:101
[2024-01-05T12:07:04.277+0000] {logging_mixin.py:188} INFO - loading chunk:102
[2024-01-05T12:07:07.075+0000] {logging_mixin.py:188} INFO - loading chunk:103
[2024-01-05T12:07:09.622+0000] {logging_mixin.py:188} INFO - loading chunk:104
[2024-01-05T12:07:12.273+0000] {logging_mixin.py:188} INFO - loading chunk:105
[2024-01-05T12:07:14.838+0000] {logging_mixin.py:188} INFO - loading chunk:106
[2024-01-05T12:07:17.342+0000] {logging_mixin.py:188} INFO - loading chunk:107
[2024-01-05T12:07:19.870+0000] {logging_mixin.py:188} INFO - loading chunk:108
[2024-01-05T12:07:22.844+0000] {logging_mixin.py:188} INFO - loading chunk:109
[2024-01-05T12:07:25.387+0000] {logging_mixin.py:188} INFO - loading chunk:110
[2024-01-05T12:07:27.936+0000] {logging_mixin.py:188} INFO - loading chunk:111
[2024-01-05T12:07:30.469+0000] {logging_mixin.py:188} INFO - loading chunk:112
[2024-01-05T12:07:33.089+0000] {logging_mixin.py:188} INFO - loading chunk:113
[2024-01-05T12:07:36.239+0000] {logging_mixin.py:188} INFO - loading chunk:114
[2024-01-05T12:07:39.180+0000] {logging_mixin.py:188} INFO - loading chunk:115
[2024-01-05T12:07:41.928+0000] {logging_mixin.py:188} INFO - loading chunk:116
[2024-01-05T12:07:44.679+0000] {logging_mixin.py:188} INFO - loading chunk:117
[2024-01-05T12:07:47.344+0000] {logging_mixin.py:188} INFO - loading chunk:118
[2024-01-05T12:07:50.142+0000] {logging_mixin.py:188} INFO - loading chunk:119
[2024-01-05T12:07:52.806+0000] {logging_mixin.py:188} INFO - loading chunk:120
[2024-01-05T12:07:55.688+0000] {logging_mixin.py:188} INFO - loading chunk:121
[2024-01-05T12:07:58.532+0000] {logging_mixin.py:188} INFO - loading chunk:122
[2024-01-05T12:08:01.382+0000] {logging_mixin.py:188} INFO - loading chunk:123
[2024-01-05T12:08:04.593+0000] {logging_mixin.py:188} INFO - loading chunk:124
[2024-01-05T12:08:07.461+0000] {logging_mixin.py:188} INFO - loading chunk:125
[2024-01-05T12:08:10.350+0000] {logging_mixin.py:188} INFO - loading chunk:126
[2024-01-05T12:08:13.237+0000] {logging_mixin.py:188} INFO - loading chunk:127
[2024-01-05T12:08:16.256+0000] {logging_mixin.py:188} INFO - loading chunk:128
[2024-01-05T12:08:18.969+0000] {logging_mixin.py:188} INFO - loading chunk:129
[2024-01-05T12:08:21.728+0000] {logging_mixin.py:188} INFO - loading chunk:130
[2024-01-05T12:08:24.629+0000] {logging_mixin.py:188} INFO - loading chunk:131
[2024-01-05T12:08:27.679+0000] {logging_mixin.py:188} INFO - loading chunk:132
[2024-01-05T12:08:30.511+0000] {logging_mixin.py:188} INFO - loading chunk:133
[2024-01-05T12:08:33.231+0000] {logging_mixin.py:188} INFO - loading chunk:134
[2024-01-05T12:08:36.049+0000] {logging_mixin.py:188} INFO - loading chunk:135
[2024-01-05T12:08:38.792+0000] {logging_mixin.py:188} INFO - loading chunk:136
[2024-01-05T12:08:41.415+0000] {logging_mixin.py:188} INFO - loading chunk:137
[2024-01-05T12:08:44.097+0000] {logging_mixin.py:188} INFO - loading chunk:138
[2024-01-05T12:08:46.725+0000] {logging_mixin.py:188} INFO - loading chunk:139
[2024-01-05T12:08:49.323+0000] {logging_mixin.py:188} INFO - loading chunk:140
[2024-01-05T12:08:51.882+0000] {logging_mixin.py:188} INFO - loading chunk:141
[2024-01-05T12:08:54.468+0000] {logging_mixin.py:188} INFO - loading chunk:142
[2024-01-05T12:08:57.160+0000] {logging_mixin.py:188} INFO - loading chunk:143
[2024-01-05T12:08:59.808+0000] {logging_mixin.py:188} INFO - loading chunk:144
[2024-01-05T12:09:02.570+0000] {logging_mixin.py:188} INFO - loading chunk:145
[2024-01-05T12:09:05.352+0000] {logging_mixin.py:188} INFO - loading chunk:146
[2024-01-05T12:09:08.042+0000] {logging_mixin.py:188} INFO - loading chunk:147
[2024-01-05T12:09:10.713+0000] {logging_mixin.py:188} INFO - loading chunk:148
[2024-01-05T12:09:13.365+0000] {logging_mixin.py:188} INFO - loading chunk:149
[2024-01-05T12:09:16.120+0000] {logging_mixin.py:188} INFO - loading chunk:150
[2024-01-05T12:09:18.722+0000] {logging_mixin.py:188} INFO - loading chunk:151
[2024-01-05T12:09:21.848+0000] {logging_mixin.py:188} INFO - loading chunk:152
[2024-01-05T12:09:24.699+0000] {logging_mixin.py:188} INFO - loading chunk:153
[2024-01-05T12:09:27.351+0000] {logging_mixin.py:188} INFO - loading chunk:154
[2024-01-05T12:09:29.983+0000] {logging_mixin.py:188} INFO - loading chunk:155
[2024-01-05T12:09:32.717+0000] {logging_mixin.py:188} INFO - loading chunk:156
[2024-01-05T12:09:35.674+0000] {logging_mixin.py:188} INFO - loading chunk:157
[2024-01-05T12:09:38.644+0000] {logging_mixin.py:188} INFO - loading chunk:158
[2024-01-05T12:09:41.486+0000] {logging_mixin.py:188} INFO - loading chunk:159
[2024-01-05T12:09:44.301+0000] {logging_mixin.py:188} INFO - loading chunk:160
[2024-01-05T12:09:47.417+0000] {logging_mixin.py:188} INFO - loading chunk:161
[2024-01-05T12:09:50.143+0000] {logging_mixin.py:188} INFO - loading chunk:162
[2024-01-05T12:09:52.958+0000] {logging_mixin.py:188} INFO - loading chunk:163
[2024-01-05T12:09:55.725+0000] {logging_mixin.py:188} INFO - loading chunk:164
[2024-01-05T12:09:58.605+0000] {logging_mixin.py:188} INFO - loading chunk:165
[2024-01-05T12:10:01.577+0000] {logging_mixin.py:188} INFO - loading chunk:166
[2024-01-05T12:10:04.520+0000] {logging_mixin.py:188} INFO - loading chunk:167
[2024-01-05T12:10:07.268+0000] {logging_mixin.py:188} INFO - loading chunk:168
[2024-01-05T12:10:10.049+0000] {logging_mixin.py:188} INFO - loading chunk:169
[2024-01-05T12:10:12.743+0000] {logging_mixin.py:188} INFO - loading chunk:170
[2024-01-05T12:10:15.403+0000] {logging_mixin.py:188} INFO - loading chunk:171
[2024-01-05T12:10:18.079+0000] {logging_mixin.py:188} INFO - loading chunk:172
[2024-01-05T12:10:20.742+0000] {logging_mixin.py:188} INFO - loading chunk:173
[2024-01-05T12:10:23.471+0000] {logging_mixin.py:188} INFO - loading chunk:174
[2024-01-05T12:10:26.176+0000] {logging_mixin.py:188} INFO - loading chunk:175
[2024-01-05T12:10:29.435+0000] {logging_mixin.py:188} INFO - loading chunk:176
[2024-01-05T12:10:32.209+0000] {logging_mixin.py:188} INFO - loading chunk:177
[2024-01-05T12:10:34.979+0000] {logging_mixin.py:188} INFO - loading chunk:178
[2024-01-05T12:10:37.842+0000] {logging_mixin.py:188} INFO - loading chunk:179
[2024-01-05T12:10:40.595+0000] {logging_mixin.py:188} INFO - loading chunk:180
[2024-01-05T12:10:43.255+0000] {logging_mixin.py:188} INFO - loading chunk:181
[2024-01-05T12:10:45.937+0000] {logging_mixin.py:188} INFO - loading chunk:182
[2024-01-05T12:10:48.707+0000] {logging_mixin.py:188} INFO - loading chunk:183
[2024-01-05T12:10:51.428+0000] {logging_mixin.py:188} INFO - loading chunk:184
[2024-01-05T12:10:54.324+0000] {logging_mixin.py:188} INFO - loading chunk:185
[2024-01-05T12:10:57.218+0000] {logging_mixin.py:188} INFO - loading chunk:186
[2024-01-05T12:10:59.975+0000] {logging_mixin.py:188} INFO - loading chunk:187
[2024-01-05T12:11:02.866+0000] {logging_mixin.py:188} INFO - loading chunk:188
[2024-01-05T12:11:05.603+0000] {logging_mixin.py:188} INFO - loading chunk:189
[2024-01-05T12:11:08.828+0000] {logging_mixin.py:188} INFO - loading chunk:190
[2024-01-05T12:11:11.705+0000] {logging_mixin.py:188} INFO - loading chunk:191
[2024-01-05T12:11:14.840+0000] {logging_mixin.py:188} INFO - loading chunk:192
[2024-01-05T12:11:18.030+0000] {logging_mixin.py:188} INFO - loading chunk:193
[2024-01-05T12:11:21.724+0000] {logging_mixin.py:188} INFO - loading chunk:194
[2024-01-05T12:11:25.179+0000] {logging_mixin.py:188} INFO - loading chunk:195
[2024-01-05T12:11:28.280+0000] {logging_mixin.py:188} INFO - loading chunk:196
[2024-01-05T12:11:31.267+0000] {logging_mixin.py:188} INFO - loading chunk:197
[2024-01-05T12:11:34.126+0000] {logging_mixin.py:188} INFO - loading chunk:198
[2024-01-05T12:11:36.865+0000] {logging_mixin.py:188} INFO - loading chunk:199
[2024-01-05T12:11:39.902+0000] {logging_mixin.py:188} INFO - loading chunk:200
[2024-01-05T12:11:42.739+0000] {logging_mixin.py:188} INFO - loading chunk:201
[2024-01-05T12:11:45.432+0000] {logging_mixin.py:188} INFO - loading chunk:202
[2024-01-05T12:11:48.129+0000] {logging_mixin.py:188} INFO - loading chunk:203
[2024-01-05T12:11:51.059+0000] {logging_mixin.py:188} INFO - loading chunk:204
[2024-01-05T12:11:54.143+0000] {logging_mixin.py:188} INFO - loading chunk:205
[2024-01-05T12:11:57.940+0000] {logging_mixin.py:188} INFO - loading chunk:206
[2024-01-05T12:12:01.054+0000] {logging_mixin.py:188} INFO - loading chunk:207
[2024-01-05T12:12:04.322+0000] {logging_mixin.py:188} INFO - loading chunk:208
[2024-01-05T12:12:07.287+0000] {logging_mixin.py:188} INFO - loading chunk:209
[2024-01-05T12:12:10.337+0000] {logging_mixin.py:188} INFO - loading chunk:210
[2024-01-05T12:12:13.278+0000] {logging_mixin.py:188} INFO - loading chunk:211
[2024-01-05T12:12:16.179+0000] {logging_mixin.py:188} INFO - loading chunk:212
[2024-01-05T12:12:19.639+0000] {logging_mixin.py:188} INFO - loading chunk:213
[2024-01-05T12:12:24.143+0000] {logging_mixin.py:188} INFO - loading chunk:214
[2024-01-05T12:12:27.263+0000] {logging_mixin.py:188} INFO - loading chunk:215
[2024-01-05T12:12:30.754+0000] {logging_mixin.py:188} INFO - loading chunk:216
[2024-01-05T12:12:34.273+0000] {logging_mixin.py:188} INFO - loading chunk:217
[2024-01-05T12:12:37.336+0000] {logging_mixin.py:188} INFO - loading chunk:218
[2024-01-05T12:12:40.310+0000] {logging_mixin.py:188} INFO - loading chunk:219
[2024-01-05T12:12:43.298+0000] {logging_mixin.py:188} INFO - loading chunk:220
[2024-01-05T12:12:46.255+0000] {logging_mixin.py:188} INFO - loading chunk:221
[2024-01-05T12:12:49.046+0000] {logging_mixin.py:188} INFO - loading chunk:222
[2024-01-05T12:12:52.050+0000] {logging_mixin.py:188} INFO - loading chunk:223
[2024-01-05T12:12:54.960+0000] {logging_mixin.py:188} INFO - loading chunk:224
[2024-01-05T12:12:57.915+0000] {logging_mixin.py:188} INFO - loading chunk:225
[2024-01-05T12:13:00.973+0000] {logging_mixin.py:188} INFO - loading chunk:226
[2024-01-05T12:13:04.207+0000] {logging_mixin.py:188} INFO - loading chunk:227
[2024-01-05T12:13:07.080+0000] {logging_mixin.py:188} INFO - loading chunk:228
[2024-01-05T12:13:10.262+0000] {logging_mixin.py:188} INFO - loading chunk:229
[2024-01-05T12:13:13.433+0000] {logging_mixin.py:188} INFO - loading chunk:230
[2024-01-05T12:13:16.404+0000] {logging_mixin.py:188} INFO - loading chunk:231
[2024-01-05T12:13:19.442+0000] {logging_mixin.py:188} INFO - loading chunk:232
[2024-01-05T12:13:22.191+0000] {logging_mixin.py:188} INFO - loading chunk:233
[2024-01-05T12:13:24.955+0000] {logging_mixin.py:188} INFO - loading chunk:234
[2024-01-05T12:13:28.121+0000] {logging_mixin.py:188} INFO - loading chunk:235
[2024-01-05T12:13:31.599+0000] {logging_mixin.py:188} INFO - loading chunk:236
[2024-01-05T12:13:34.716+0000] {logging_mixin.py:188} INFO - loading chunk:237
[2024-01-05T12:13:37.516+0000] {logging_mixin.py:188} INFO - loading chunk:238
[2024-01-05T12:13:40.693+0000] {logging_mixin.py:188} INFO - loading chunk:239
[2024-01-05T12:13:43.687+0000] {logging_mixin.py:188} INFO - loading chunk:240
[2024-01-05T12:13:46.543+0000] {logging_mixin.py:188} INFO - loading chunk:241
[2024-01-05T12:13:49.279+0000] {logging_mixin.py:188} INFO - loading chunk:242
[2024-01-05T12:13:51.943+0000] {logging_mixin.py:188} INFO - loading chunk:243
[2024-01-05T12:13:54.666+0000] {logging_mixin.py:188} INFO - loading chunk:244
[2024-01-05T12:13:57.387+0000] {logging_mixin.py:188} INFO - loading chunk:245
[2024-01-05T12:14:00.195+0000] {logging_mixin.py:188} INFO - loading chunk:246
[2024-01-05T12:14:03.161+0000] {logging_mixin.py:188} INFO - loading chunk:247
[2024-01-05T12:14:06.374+0000] {logging_mixin.py:188} INFO - loading chunk:248
[2024-01-05T12:14:09.389+0000] {logging_mixin.py:188} INFO - loading chunk:249
[2024-01-05T12:14:11.992+0000] {logging_mixin.py:188} INFO - loading chunk:250
[2024-01-05T12:14:14.521+0000] {logging_mixin.py:188} INFO - loading chunk:251
[2024-01-05T12:14:17.117+0000] {logging_mixin.py:188} INFO - loading chunk:252
[2024-01-05T12:14:19.665+0000] {logging_mixin.py:188} INFO - loading chunk:253
[2024-01-05T12:14:22.319+0000] {logging_mixin.py:188} INFO - loading chunk:254
[2024-01-05T12:14:25.225+0000] {logging_mixin.py:188} INFO - loading chunk:255
[2024-01-05T12:14:27.722+0000] {logging_mixin.py:188} INFO - loading chunk:256
[2024-01-05T12:14:30.268+0000] {logging_mixin.py:188} INFO - loading chunk:257
[2024-01-05T12:14:32.807+0000] {logging_mixin.py:188} INFO - loading chunk:258
[2024-01-05T12:14:35.693+0000] {logging_mixin.py:188} INFO - loading chunk:259
[2024-01-05T12:14:38.270+0000] {logging_mixin.py:188} INFO - loading chunk:260
[2024-01-05T12:14:40.897+0000] {logging_mixin.py:188} INFO - loading chunk:261
[2024-01-05T12:14:43.496+0000] {logging_mixin.py:188} INFO - loading chunk:262
[2024-01-05T12:14:46.122+0000] {logging_mixin.py:188} INFO - loading chunk:263
[2024-01-05T12:14:48.640+0000] {logging_mixin.py:188} INFO - loading chunk:264
[2024-01-05T12:14:51.351+0000] {logging_mixin.py:188} INFO - loading chunk:265
[2024-01-05T12:14:54.094+0000] {logging_mixin.py:188} INFO - loading chunk:266
[2024-01-05T12:14:56.705+0000] {logging_mixin.py:188} INFO - loading chunk:267
[2024-01-05T12:14:59.657+0000] {logging_mixin.py:188} INFO - loading chunk:268
[2024-01-05T12:15:02.463+0000] {logging_mixin.py:188} INFO - loading chunk:269
[2024-01-05T12:15:05.090+0000] {logging_mixin.py:188} INFO - loading chunk:270
[2024-01-05T12:15:07.621+0000] {logging_mixin.py:188} INFO - loading chunk:271
[2024-01-05T12:15:10.248+0000] {logging_mixin.py:188} INFO - loading chunk:272
[2024-01-05T12:15:13.263+0000] {logging_mixin.py:188} INFO - loading chunk:273
[2024-01-05T12:15:15.964+0000] {logging_mixin.py:188} INFO - loading chunk:274
[2024-01-05T12:15:18.707+0000] {logging_mixin.py:188} INFO - loading chunk:275
[2024-01-05T12:15:21.490+0000] {logging_mixin.py:188} INFO - loading chunk:276
[2024-01-05T12:15:24.673+0000] {logging_mixin.py:188} INFO - loading chunk:277
