[2024-01-05T11:21:06.657+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: load_data_parquet.load_data_order_products__prior manual__2024-01-05T11:20:45.850362+00:00 [queued]>
[2024-01-05T11:21:06.673+0000] {taskinstance.py:1957} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: load_data_parquet.load_data_order_products__prior manual__2024-01-05T11:20:45.850362+00:00 [queued]>
[2024-01-05T11:21:06.673+0000] {taskinstance.py:2171} INFO - Starting attempt 1 of 1
[2024-01-05T11:21:06.699+0000] {taskinstance.py:2192} INFO - Executing <Task(PythonOperator): load_data_order_products__prior> on 2024-01-05 11:20:45.850362+00:00
[2024-01-05T11:21:06.706+0000] {standard_task_runner.py:60} INFO - Started process 464 to run task
[2024-01-05T11:21:06.711+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'load_data_parquet', 'load_data_order_products__prior', 'manual__2024-01-05T11:20:45.850362+00:00', '--job-id', '29', '--raw', '--subdir', 'DAGS_FOLDER/load_data_parquet.py', '--cfg-path', '/tmp/tmp2djpnfm3']
[2024-01-05T11:21:06.716+0000] {standard_task_runner.py:88} INFO - Job 29: Subtask load_data_order_products__prior
[2024-01-05T11:21:06.803+0000] {task_command.py:423} INFO - Running <TaskInstance: load_data_parquet.load_data_order_products__prior manual__2024-01-05T11:20:45.850362+00:00 [running]> on host edef6e683abd
[2024-01-05T11:21:06.952+0000] {taskinstance.py:2481} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='load_data_parquet' AIRFLOW_CTX_TASK_ID='load_data_order_products__prior' AIRFLOW_CTX_EXECUTION_DATE='2024-01-05T11:20:45.850362+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-01-05T11:20:45.850362+00:00'
[2024-01-05T11:21:06.977+0000] {logging_mixin.py:188} INFO - starting:order_products__prior
[2024-01-05T11:21:45.018+0000] {logging_mixin.py:188} INFO - loading chunk:28
[2024-01-05T11:21:45.580+0000] {logging_mixin.py:188} INFO - loading chunk:29
[2024-01-05T11:21:45.988+0000] {logging_mixin.py:188} INFO - loading chunk:30
[2024-01-05T11:21:46.445+0000] {logging_mixin.py:188} INFO - loading chunk:31
[2024-01-05T11:21:47.005+0000] {logging_mixin.py:188} INFO - loading chunk:32
[2024-01-05T11:21:47.426+0000] {logging_mixin.py:188} INFO - loading chunk:33
[2024-01-05T11:21:48.000+0000] {logging_mixin.py:188} INFO - loading chunk:34
[2024-01-05T11:21:48.424+0000] {logging_mixin.py:188} INFO - loading chunk:35
[2024-01-05T11:21:48.797+0000] {logging_mixin.py:188} INFO - loading chunk:36
[2024-01-05T11:21:49.227+0000] {logging_mixin.py:188} INFO - loading chunk:37
[2024-01-05T11:21:49.575+0000] {logging_mixin.py:188} INFO - loading chunk:38
[2024-01-05T11:21:50.114+0000] {logging_mixin.py:188} INFO - loading chunk:39
[2024-01-05T11:21:50.420+0000] {logging_mixin.py:188} INFO - loading chunk:40
[2024-01-05T11:21:50.750+0000] {logging_mixin.py:188} INFO - loading chunk:41
[2024-01-05T11:21:51.131+0000] {logging_mixin.py:188} INFO - loading chunk:42
[2024-01-05T11:21:51.441+0000] {logging_mixin.py:188} INFO - loading chunk:43
[2024-01-05T11:21:52.150+0000] {logging_mixin.py:188} INFO - loading chunk:44
[2024-01-05T11:21:52.510+0000] {logging_mixin.py:188} INFO - loading chunk:45
[2024-01-05T11:21:52.905+0000] {logging_mixin.py:188} INFO - loading chunk:46
[2024-01-05T11:21:53.424+0000] {logging_mixin.py:188} INFO - loading chunk:47
[2024-01-05T11:21:54.057+0000] {logging_mixin.py:188} INFO - loading chunk:48
[2024-01-05T11:21:54.520+0000] {logging_mixin.py:188} INFO - loading chunk:49
[2024-01-05T11:21:55.046+0000] {logging_mixin.py:188} INFO - loading chunk:50
[2024-01-05T11:21:55.994+0000] {logging_mixin.py:188} INFO - loading chunk:51
[2024-01-05T11:22:34.842+0000] {logging_mixin.py:188} INFO - loading chunk:52
[2024-01-05T11:22:35.291+0000] {logging_mixin.py:188} INFO - loading chunk:53
[2024-01-05T11:22:35.750+0000] {logging_mixin.py:188} INFO - loading chunk:54
[2024-01-05T11:22:36.066+0000] {logging_mixin.py:188} INFO - loading chunk:55
[2024-01-05T11:22:36.391+0000] {logging_mixin.py:188} INFO - loading chunk:56
[2024-01-05T11:22:36.815+0000] {logging_mixin.py:188} INFO - loading chunk:57
[2024-01-05T11:22:37.150+0000] {logging_mixin.py:188} INFO - loading chunk:58
[2024-01-05T11:22:37.507+0000] {logging_mixin.py:188} INFO - loading chunk:59
[2024-01-05T11:22:37.887+0000] {logging_mixin.py:188} INFO - loading chunk:60
[2024-01-05T11:22:38.699+0000] {logging_mixin.py:188} INFO - loading chunk:61
[2024-01-05T11:22:39.111+0000] {logging_mixin.py:188} INFO - loading chunk:62
[2024-01-05T11:22:39.416+0000] {logging_mixin.py:188} INFO - loading chunk:63
[2024-01-05T11:22:39.688+0000] {logging_mixin.py:188} INFO - loading chunk:64
[2024-01-05T11:22:39.975+0000] {logging_mixin.py:188} INFO - loading chunk:65
[2024-01-05T11:22:40.285+0000] {logging_mixin.py:188} INFO - loading chunk:66
[2024-01-05T11:22:40.676+0000] {logging_mixin.py:188} INFO - loading chunk:67
[2024-01-05T11:22:40.973+0000] {logging_mixin.py:188} INFO - loading chunk:68
[2024-01-05T11:22:41.262+0000] {logging_mixin.py:188} INFO - loading chunk:69
[2024-01-05T11:22:41.549+0000] {logging_mixin.py:188} INFO - loading chunk:70
[2024-01-05T11:22:41.930+0000] {logging_mixin.py:188} INFO - loading chunk:71
[2024-01-05T11:22:42.260+0000] {logging_mixin.py:188} INFO - loading chunk:72
[2024-01-05T11:22:42.588+0000] {logging_mixin.py:188} INFO - loading chunk:73
[2024-01-05T11:22:42.869+0000] {logging_mixin.py:188} INFO - loading chunk:74
[2024-01-05T11:22:43.242+0000] {logging_mixin.py:188} INFO - loading chunk:75
[2024-01-05T11:22:43.520+0000] {logging_mixin.py:188} INFO - loading chunk:76
[2024-01-05T11:22:43.829+0000] {logging_mixin.py:188} INFO - loading chunk:77
[2024-01-05T11:22:44.130+0000] {logging_mixin.py:188} INFO - loading chunk:78
[2024-01-05T11:22:44.406+0000] {logging_mixin.py:188} INFO - loading chunk:79
[2024-01-05T11:22:44.755+0000] {logging_mixin.py:188} INFO - loading chunk:80
[2024-01-05T11:22:45.008+0000] {logging_mixin.py:188} INFO - loading chunk:81
[2024-01-05T11:22:45.264+0000] {logging_mixin.py:188} INFO - loading chunk:82
[2024-01-05T11:22:45.521+0000] {logging_mixin.py:188} INFO - loading chunk:83
[2024-01-05T11:22:45.801+0000] {logging_mixin.py:188} INFO - loading chunk:84
[2024-01-05T11:22:46.213+0000] {logging_mixin.py:188} INFO - loading chunk:85
[2024-01-05T11:22:46.528+0000] {logging_mixin.py:188} INFO - loading chunk:86
[2024-01-05T11:22:46.812+0000] {logging_mixin.py:188} INFO - loading chunk:87
[2024-01-05T11:22:47.077+0000] {logging_mixin.py:188} INFO - loading chunk:88
[2024-01-05T11:22:47.333+0000] {logging_mixin.py:188} INFO - loading chunk:89
[2024-01-05T11:22:47.681+0000] {logging_mixin.py:188} INFO - loading chunk:90
[2024-01-05T11:22:47.939+0000] {logging_mixin.py:188} INFO - loading chunk:91
[2024-01-05T11:22:48.195+0000] {logging_mixin.py:188} INFO - loading chunk:92
[2024-01-05T11:22:48.462+0000] {logging_mixin.py:188} INFO - loading chunk:93
[2024-01-05T11:22:48.831+0000] {logging_mixin.py:188} INFO - loading chunk:94
[2024-01-05T11:22:49.094+0000] {logging_mixin.py:188} INFO - loading chunk:95
[2024-01-05T11:22:49.378+0000] {logging_mixin.py:188} INFO - loading chunk:96
[2024-01-05T11:22:49.693+0000] {logging_mixin.py:188} INFO - loading chunk:97
[2024-01-05T11:22:50.061+0000] {logging_mixin.py:188} INFO - loading chunk:98
[2024-01-05T11:22:50.335+0000] {logging_mixin.py:188} INFO - loading chunk:99
[2024-01-05T11:22:50.601+0000] {logging_mixin.py:188} INFO - loading chunk:100
[2024-01-05T11:22:50.860+0000] {logging_mixin.py:188} INFO - loading chunk:101
[2024-01-05T11:22:51.117+0000] {logging_mixin.py:188} INFO - loading chunk:102
[2024-01-05T11:22:51.503+0000] {logging_mixin.py:188} INFO - loading chunk:103
[2024-01-05T11:22:51.889+0000] {logging_mixin.py:188} INFO - loading chunk:104
[2024-01-05T11:22:52.280+0000] {logging_mixin.py:188} INFO - loading chunk:105
[2024-01-05T11:22:52.571+0000] {logging_mixin.py:188} INFO - loading chunk:106
[2024-01-05T11:22:52.873+0000] {logging_mixin.py:188} INFO - loading chunk:107
[2024-01-05T11:22:53.256+0000] {logging_mixin.py:188} INFO - loading chunk:108
[2024-01-05T11:22:53.601+0000] {logging_mixin.py:188} INFO - loading chunk:109
[2024-01-05T11:22:53.891+0000] {logging_mixin.py:188} INFO - loading chunk:110
[2024-01-05T11:22:54.206+0000] {logging_mixin.py:188} INFO - loading chunk:111
[2024-01-05T11:22:54.502+0000] {logging_mixin.py:188} INFO - loading chunk:112
[2024-01-05T11:22:55.016+0000] {logging_mixin.py:188} INFO - loading chunk:113
[2024-01-05T11:22:55.447+0000] {logging_mixin.py:188} INFO - loading chunk:114
[2024-01-05T11:22:55.820+0000] {logging_mixin.py:188} INFO - loading chunk:115
[2024-01-05T11:22:56.162+0000] {logging_mixin.py:188} INFO - loading chunk:116
[2024-01-05T11:22:57.123+0000] {logging_mixin.py:188} INFO - loading chunk:117
[2024-01-05T11:22:57.430+0000] {logging_mixin.py:188} INFO - loading chunk:118
[2024-01-05T11:22:57.736+0000] {logging_mixin.py:188} INFO - loading chunk:119
[2024-01-05T11:22:58.076+0000] {logging_mixin.py:188} INFO - loading chunk:120
[2024-01-05T11:22:58.560+0000] {logging_mixin.py:188} INFO - loading chunk:121
[2024-01-05T11:22:58.963+0000] {logging_mixin.py:188} INFO - loading chunk:122
[2024-01-05T11:22:59.427+0000] {logging_mixin.py:188} INFO - loading chunk:123
[2024-01-05T11:22:59.772+0000] {logging_mixin.py:188} INFO - loading chunk:124
[2024-01-05T11:23:00.160+0000] {logging_mixin.py:188} INFO - loading chunk:125
[2024-01-05T11:23:00.744+0000] {logging_mixin.py:188} INFO - loading chunk:126
[2024-01-05T11:23:01.071+0000] {logging_mixin.py:188} INFO - loading chunk:127
[2024-01-05T11:23:01.424+0000] {logging_mixin.py:188} INFO - loading chunk:128
[2024-01-05T11:23:01.843+0000] {logging_mixin.py:188} INFO - loading chunk:129
[2024-01-05T11:23:02.362+0000] {logging_mixin.py:188} INFO - loading chunk:130
[2024-01-05T11:23:02.884+0000] {logging_mixin.py:188} INFO - loading chunk:131
[2024-01-05T11:23:03.288+0000] {logging_mixin.py:188} INFO - loading chunk:132
[2024-01-05T11:23:03.749+0000] {logging_mixin.py:188} INFO - loading chunk:133
[2024-01-05T11:23:04.163+0000] {logging_mixin.py:188} INFO - loading chunk:134
[2024-01-05T11:23:04.544+0000] {logging_mixin.py:188} INFO - loading chunk:135
[2024-01-05T11:23:05.043+0000] {logging_mixin.py:188} INFO - loading chunk:136
[2024-01-05T11:23:05.510+0000] {logging_mixin.py:188} INFO - loading chunk:137
[2024-01-05T11:23:05.913+0000] {logging_mixin.py:188} INFO - loading chunk:138
[2024-01-05T11:23:06.411+0000] {logging_mixin.py:188} INFO - loading chunk:139
[2024-01-05T11:23:07.303+0000] {logging_mixin.py:188} INFO - loading chunk:140
[2024-01-05T11:23:08.134+0000] {logging_mixin.py:188} INFO - loading chunk:141
[2024-01-05T11:23:14.159+0000] {logging_mixin.py:188} INFO - loading chunk:142
[2024-01-05T11:26:29.774+0000] {logging_mixin.py:188} INFO - loading chunk:143
[2024-01-05T11:24:36.895+0000] {job.py:213} ERROR - Job heartbeat got an exception
Traceback (most recent call last):
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/engine/base.py", line 3371, in _wrap_pool_connect
    return fn()
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/pool/base.py", line 327, in connect
    return _ConnectionFairy._checkout(self)
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/pool/base.py", line 894, in _checkout
    fairy = _ConnectionRecord.checkout(pool)
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/pool/base.py", line 493, in checkout
    rec = pool._do_get()
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/pool/impl.py", line 256, in _do_get
    return self._create_connection()
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/pool/base.py", line 273, in _create_connection
    return _ConnectionRecord(self)
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/pool/base.py", line 388, in __init__
    self.__connect()
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/pool/base.py", line 691, in __connect
    pool.logger.debug("Error on connect(): %s", e)
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/util/langhelpers.py", line 70, in __exit__
    compat.raise_(
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/util/compat.py", line 211, in raise_
    raise exception
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/pool/base.py", line 686, in __connect
    self.dbapi_connection = connection = pool._invoke_creator(self)
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/engine/create.py", line 574, in connect
    return dialect.connect(*cargs, **cparams)
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/engine/default.py", line 598, in connect
    return self.dbapi.connect(*cargs, **cparams)
  File "/home/airflow/.local/lib/python3.8/site-packages/psycopg2/__init__.py", line 122, in connect
    conn = _connect(dsn, connection_factory=connection_factory, **kwasync)
psycopg2.OperationalError: could not translate host name "postgres" to address: Temporary failure in name resolution


The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "/home/airflow/.local/lib/python3.8/site-packages/airflow/jobs/job.py", line 187, in heartbeat
    self._merge_from(Job._fetch_from_db(self, session))
  File "/home/airflow/.local/lib/python3.8/site-packages/airflow/api_internal/internal_api_call.py", line 114, in wrapper
    return func(*args, **kwargs)
  File "/home/airflow/.local/lib/python3.8/site-packages/airflow/utils/session.py", line 76, in wrapper
    return func(*args, **kwargs)
  File "/home/airflow/.local/lib/python3.8/site-packages/airflow/jobs/job.py", line 308, in _fetch_from_db
    session.merge(job)
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/orm/session.py", line 3056, in merge
    return self._merge(
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/orm/session.py", line 3136, in _merge
    merged = self.get(
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/orm/session.py", line 2853, in get
    return self._get_impl(
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/orm/session.py", line 2975, in _get_impl
    return db_load_fn(
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/orm/loading.py", line 530, in load_on_pk_identity
    session.execute(
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/orm/session.py", line 1716, in execute
    conn = self._connection_for_bind(bind)
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/orm/session.py", line 1555, in _connection_for_bind
    return self._transaction._connection_for_bind(
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/orm/session.py", line 750, in _connection_for_bind
    conn = bind.connect()
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/future/engine.py", line 406, in connect
    return super(Engine, self).connect()
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/engine/base.py", line 3325, in connect
    return self._connection_cls(self, close_with_result=close_with_result)
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/engine/base.py", line 96, in __init__
    else engine.raw_connection()
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/engine/base.py", line 3404, in raw_connection
    return self._wrap_pool_connect(self.pool.connect, _connection)
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/engine/base.py", line 3374, in _wrap_pool_connect
    Connection._handle_dbapi_exception_noconnection(
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/engine/base.py", line 2208, in _handle_dbapi_exception_noconnection
    util.raise_(
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/util/compat.py", line 211, in raise_
    raise exception
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/engine/base.py", line 3371, in _wrap_pool_connect
    return fn()
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/pool/base.py", line 327, in connect
    return _ConnectionFairy._checkout(self)
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/pool/base.py", line 894, in _checkout
    fairy = _ConnectionRecord.checkout(pool)
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/pool/base.py", line 493, in checkout
    rec = pool._do_get()
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/pool/impl.py", line 256, in _do_get
    return self._create_connection()
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/pool/base.py", line 273, in _create_connection
    return _ConnectionRecord(self)
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/pool/base.py", line 388, in __init__
    self.__connect()
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/pool/base.py", line 691, in __connect
    pool.logger.debug("Error on connect(): %s", e)
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/util/langhelpers.py", line 70, in __exit__
    compat.raise_(
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/util/compat.py", line 211, in raise_
    raise exception
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/pool/base.py", line 686, in __connect
    self.dbapi_connection = connection = pool._invoke_creator(self)
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/engine/create.py", line 574, in connect
    return dialect.connect(*cargs, **cparams)
  File "/home/airflow/.local/lib/python3.8/site-packages/sqlalchemy/engine/default.py", line 598, in connect
    return self.dbapi.connect(*cargs, **cparams)
  File "/home/airflow/.local/lib/python3.8/site-packages/psycopg2/__init__.py", line 122, in connect
    conn = _connect(dsn, connection_factory=connection_factory, **kwasync)
sqlalchemy.exc.OperationalError: (psycopg2.OperationalError) could not translate host name "postgres" to address: Temporary failure in name resolution

(Background on this error at: https://sqlalche.me/e/14/e3q8)
[2024-01-05T11:26:29.858+0000] {job.py:221} ERROR - Job heartbeat failed with error. Scheduler is in unhealthy state
[2024-01-05T11:26:32.351+0000] {logging_mixin.py:188} INFO - loading chunk:144
[2024-01-05T11:26:33.085+0000] {logging_mixin.py:188} INFO - loading chunk:145
[2024-01-05T11:26:33.634+0000] {logging_mixin.py:188} INFO - loading chunk:146
[2024-01-05T11:26:34.108+0000] {logging_mixin.py:188} INFO - loading chunk:147
[2024-01-05T11:26:34.785+0000] {logging_mixin.py:188} INFO - loading chunk:148
[2024-01-05T11:26:35.504+0000] {logging_mixin.py:188} INFO - loading chunk:149
[2024-01-05T11:26:35.905+0000] {logging_mixin.py:188} INFO - loading chunk:150
[2024-01-05T11:26:36.255+0000] {logging_mixin.py:188} INFO - loading chunk:151
[2024-01-05T11:26:36.594+0000] {logging_mixin.py:188} INFO - loading chunk:152
[2024-01-05T11:26:36.915+0000] {logging_mixin.py:188} INFO - loading chunk:153
[2024-01-05T11:26:37.333+0000] {logging_mixin.py:188} INFO - loading chunk:154
[2024-01-05T11:26:37.658+0000] {logging_mixin.py:188} INFO - loading chunk:155
[2024-01-05T11:26:37.968+0000] {logging_mixin.py:188} INFO - loading chunk:156
[2024-01-05T11:26:38.292+0000] {logging_mixin.py:188} INFO - loading chunk:157
[2024-01-05T11:26:38.616+0000] {logging_mixin.py:188} INFO - loading chunk:158
[2024-01-05T11:26:39.040+0000] {logging_mixin.py:188} INFO - loading chunk:159
[2024-01-05T11:26:39.342+0000] {logging_mixin.py:188} INFO - loading chunk:160
[2024-01-05T11:26:39.668+0000] {logging_mixin.py:188} INFO - loading chunk:161
[2024-01-05T11:26:40.125+0000] {logging_mixin.py:188} INFO - loading chunk:162
[2024-01-05T11:26:40.668+0000] {logging_mixin.py:188} INFO - loading chunk:163
[2024-01-05T11:26:41.019+0000] {logging_mixin.py:188} INFO - loading chunk:164
[2024-01-05T11:26:41.350+0000] {logging_mixin.py:188} INFO - loading chunk:165
[2024-01-05T11:26:41.650+0000] {logging_mixin.py:188} INFO - loading chunk:166
[2024-01-05T11:26:41.930+0000] {logging_mixin.py:188} INFO - loading chunk:167
[2024-01-05T11:26:42.329+0000] {logging_mixin.py:188} INFO - loading chunk:168
[2024-01-05T11:26:42.605+0000] {logging_mixin.py:188} INFO - loading chunk:169
[2024-01-05T11:26:42.890+0000] {logging_mixin.py:188} INFO - loading chunk:170
[2024-01-05T11:26:43.203+0000] {logging_mixin.py:188} INFO - loading chunk:171
[2024-01-05T11:26:43.581+0000] {logging_mixin.py:188} INFO - loading chunk:172
[2024-01-05T11:26:43.856+0000] {logging_mixin.py:188} INFO - loading chunk:173
[2024-01-05T11:26:44.145+0000] {logging_mixin.py:188} INFO - loading chunk:174
[2024-01-05T11:26:44.439+0000] {logging_mixin.py:188} INFO - loading chunk:175
[2024-01-05T11:26:44.714+0000] {logging_mixin.py:188} INFO - loading chunk:176
[2024-01-05T11:26:45.089+0000] {logging_mixin.py:188} INFO - loading chunk:177
[2024-01-05T11:26:45.387+0000] {logging_mixin.py:188} INFO - loading chunk:178
[2024-01-05T11:26:45.685+0000] {logging_mixin.py:188} INFO - loading chunk:179
[2024-01-05T11:26:45.966+0000] {logging_mixin.py:188} INFO - loading chunk:180
[2024-01-05T11:26:46.243+0000] {logging_mixin.py:188} INFO - loading chunk:181
[2024-01-05T11:26:46.627+0000] {logging_mixin.py:188} INFO - loading chunk:182
[2024-01-05T11:26:46.913+0000] {logging_mixin.py:188} INFO - loading chunk:183
[2024-01-05T11:26:47.185+0000] {logging_mixin.py:188} INFO - loading chunk:184
[2024-01-05T11:26:47.464+0000] {logging_mixin.py:188} INFO - loading chunk:185
[2024-01-05T11:26:47.853+0000] {logging_mixin.py:188} INFO - loading chunk:186
[2024-01-05T11:26:48.121+0000] {logging_mixin.py:188} INFO - loading chunk:187
[2024-01-05T11:26:48.508+0000] {logging_mixin.py:188} INFO - loading chunk:188
[2024-01-05T11:26:48.813+0000] {logging_mixin.py:188} INFO - loading chunk:189
[2024-01-05T11:26:49.125+0000] {logging_mixin.py:188} INFO - loading chunk:190
[2024-01-05T11:26:49.540+0000] {logging_mixin.py:188} INFO - loading chunk:191
[2024-01-05T11:26:49.842+0000] {logging_mixin.py:188} INFO - loading chunk:192
[2024-01-05T11:26:50.154+0000] {logging_mixin.py:188} INFO - loading chunk:193
[2024-01-05T11:26:50.442+0000] {logging_mixin.py:188} INFO - loading chunk:194
[2024-01-05T11:26:50.755+0000] {logging_mixin.py:188} INFO - loading chunk:195
[2024-01-05T11:26:51.589+0000] {logging_mixin.py:188} INFO - loading chunk:196
[2024-01-05T11:26:52.003+0000] {logging_mixin.py:188} INFO - loading chunk:197
[2024-01-05T11:26:52.452+0000] {logging_mixin.py:188} INFO - loading chunk:198
